content	x	y	w	h	
NO	603	285	60	66	
.	667	286	18	65	
98	718	286	48	65	
.	773	287	18	65	
Wonderful	1215	290	371	94	
.	1572	292	27	92	
Copyright	1093	395	160	49	
,	1252	396	13	48	
1908	1278	396	63	48	
,	1341	397	13	48	
by	1364	397	36	48	
Dean	1414	397	89	49	
&	1532	398	13	48	
Morgan	1569	398	138	49	
.	1718	399	13	48	
EMMETT	1820	435	142	41	
S	1984	436	11	40	
.	2001	436	11	40	
DEAN	2026	436	77	41	
.	2111	437	11	40	
R	689	426	11	42	
.	710	426	11	42	
M	740	426	11	42	
.	771	427	11	42	
MORGAN	788	427	137	43	
.	938	428	11	42	
Slowly	776	465	134	48	
2	708	516	13	46	
:	732	516	13	46	
54	742	516	50	47	
1	731	672	12	43	
.	744	672	12	43	
When	777	673	112	43	
I	925	674	12	43	
was	980	674	74	43	
wand	1059	675	103	43	
'	1162	675	12	43	
ring	1175	675	75	44	
far	1263	676	49	43	
,	1312	676	12	43	
far	1334	677	48	43	
from	1395	677	73	43	
God	1488	678	81	43	
Go	1638	679	64	43	
-	1717	679	12	43	
ing	1744	679	56	44	
to	1843	680	32	43	
,	1884	680	12	43	
I	1946	681	12	43	
knew	1972	681	90	44	
not	2080	682	48	43	
2	726	719	11	40	
.	747	719	11	40	
When	775	720	111	40	
clouds	904	720	118	41	
o	1042	721	11	40	
'	1059	722	11	40	
er	1074	722	29	40	
hang	1111	722	96	40	
and	1220	723	63	40	
cares	1299	723	87	41	
try	1402	724	46	40	
my	1460	724	66	41	
soul	1533	725	77	40	
,	1608	725	11	40	
Comes	1618	726	130	40	
to	1757	727	36	40	
me	1829	727	66	40	
this	1910	728	65	40	
blessed	1994	728	135	41	
3	730	759	12	45	
.	748	759	12	45	
'	799	760	12	45	
Tis	819	760	50	45	
wonder	912	761	139	45	
-	1052	762	12	45	
ful	1070	762	52	45	
,	1116	762	12	45	
He	1153	762	67	45	
rose	1235	763	73	45	
from	1328	763	70	46	
the	1423	764	58	45	
dead	1489	765	88	45	
,	1581	765	12	45	
Then	1637	766	85	45	
as	1752	766	41	46	
-	1806	767	12	45	
cend	1827	767	83	45	
-	1916	768	12	45	
ed	1933	768	33	45	
to	1995	768	24	45	
His	2084	769	50	45	
m	574	1036	30	74	
oto	729	1065	73	82	
r	1064	1126	29	74	
a	1133	1137	25	73	
the	1158	1142	75	83	
story	1230	1156	100	85	
;	1323	1173	33	75	
where	750	1172	109	50	
,	861	1181	14	42	
I	1024	1174	13	48	
heard	1050	1175	100	48	
the	1165	1175	62	49	
story	1240	1176	88	48	
,	1327	1176	13	48	
Christ	1362	1177	115	48	
died	1493	1178	70	48	
for	1583	1178	54	49	
me	1637	1179	70	48	
,	1700	1179	13	48	
That	1738	1179	80	49	
I	1842	1180	13	48	
might	1864	1180	116	49	
His	1987	1181	69	49	
glory	2073	1182	71	48	
thought	731	1221	148	41	
:	888	1222	11	40	
'	929	1223	11	40	
Tis	946	1223	51	40	
wonderful	1013	1223	197	42	
that	1215	1225	77	40	
Christ	1300	1225	117	41	
died	1432	1226	69	41	
for	1519	1227	51	40	
me	1572	1227	66	40	
,	1634	1228	11	40	
With	1656	1228	93	40	
His	1765	1229	74	40	
blood	1848	1229	105	41	
my	1962	1230	66	40	
soul	2039	1231	67	40	
was	2111	1231	52	40	
throne	738	1262	127	47	
,	866	1263	13	46	
And	988	1264	72	46	
there	1076	1265	95	46	
is	1186	1265	25	47	
in	1238	1266	25	46	
-	1284	1266	13	46	
ter	1306	1266	46	47	
-	1369	1267	13	46	
ced	1389	1267	59	46	
-	1453	1267	13	46	
ing	1468	1267	59	47	
to	1537	1268	34	46	
-	1575	1268	13	46	
day	1591	1268	66	47	
For	1670	1269	65	46	
His	1748	1269	65	47	
blest	1826	1270	92	47	
,	1918	1271	13	46	
His	1931	1271	65	46	
loved	2009	1271	92	47	
,	2102	1272	13	46	
His	2114	1272	45	46	
REFRAIN	1096	1476	170	36	
.	1280	1481	9	32	
Won	1120	1514	68	40	
-	1213	1515	11	40	
